face_encoding,id
"[-0.09215975,  0.11674226,  0.07257527, -0.09150705, -0.0890268 ,
 -0.00989614, -0.07701865, -0.10995271,  0.18848033, -0.10489839,
  0.27115074, -0.02295993, -0.18598586, -0.10291306, -0.01761875,
  0.12947859, -0.18358429, -0.1107574 , -0.03954056, -0.02873109,
  0.05722197, -0.01773166,  0.07392018,  0.04734407, -0.10444479,
 -0.34790611, -0.13111386, -0.09025457,  0.00519435, -0.089678  ,
 -0.03160618,  0.02442718, -0.16815056, -0.06265843, -0.0053806 ,
  0.12586683, -0.06332246, -0.09037055,  0.15217176, -0.08228669,
 -0.18418536,  0.03544759,  0.0012384 ,  0.18849343,  0.18419974,
  0.06706269,  0.01907156, -0.15884379,  0.1263947 , -0.15758209,
  0.08553931,  0.14087315,  0.08000487,  0.04095054,  0.04765726,
 -0.10620414,  0.03200208,  0.11686262, -0.1036818 ,  0.01839629,
 -0.00156832, -0.08904675, -0.00605624, -0.06161996,  0.19511192,
  0.13180859, -0.08993751, -0.17243263,  0.11969395, -0.11844242,
 -0.11089648,  0.12624504, -0.1585131 , -0.20337978, -0.28764299,
  0.02206448,  0.40035924,  0.06738243, -0.20483154,  0.0051599 ,
 -0.02873451, -0.0286851 ,  0.0846749 ,  0.15244071, -0.08958928,
 -0.00134458, -0.13634826,  0.03932778,  0.2725884 , -0.092921  ,
 -0.09312164,  0.22072181, -0.00887147,  0.12608345,  0.03801358,
  0.04876784, -0.01122688,  0.06202696, -0.1472989 , -0.02439088,
  0.1687811 , -0.03275218, -0.10023148,  0.08300823, -0.15738644,
  0.08596496,  0.00964605,  0.00093732,  0.02264461, -0.05495401,
 -0.13035414, -0.03574978,  0.2103876 , -0.23286451,  0.23943067,
  0.20478854,  0.06747083,  0.13362506,  0.12995891,  0.05593482,
  0.02338381, -0.08583901, -0.16787638, -0.01993963,  0.1240786 ,
  0.01046666,  0.08910397,  0.00539315]",1
"[-5.38308211e-02,  1.07614085e-01,  1.76116172e-03, -6.42056689e-02,
 -2.92788837e-02, -7.00519085e-02, -5.77313639e-02, -1.44524664e-01,
  1.81292459e-01, -1.40379980e-01,  1.83559790e-01, -2.29536779e-02,
 -1.59976065e-01, -1.27833784e-01, -3.84138934e-02,  1.85189962e-01,
 -1.84222758e-01, -1.49892047e-01, -5.13084084e-02,  1.51113607e-03,
  1.07448101e-01,  9.34370700e-03, -3.02959196e-02,  2.79959142e-02,
 -1.20506808e-01, -3.14974815e-01, -8.82765353e-02, -1.01035044e-01,
 -3.29152122e-02, -3.75293158e-02, -4.55986261e-02,  1.14927152e-02,
 -2.02565566e-01, -1.00961447e-01,  3.41739655e-02,  6.63169697e-02,
 -2.78529637e-02, -3.94079387e-02,  1.71566352e-01,  4.08450104e-02,
 -2.03011245e-01,  1.39982421e-02,  5.50947078e-02,  2.63335496e-01,
  1.77586466e-01,  5.74610047e-02,  3.80414724e-02, -1.39198005e-01,
  1.53326437e-01, -1.46359533e-01,  3.11124623e-02,  1.07786946e-01,
  8.29700977e-02,  8.49881619e-02,  3.39416414e-02, -1.15479894e-01,
  5.76125085e-02,  9.61111039e-02, -1.63106650e-01,  4.60256971e-02,
  1.06168225e-01, -1.01350658e-01, -7.55752027e-02, -4.89854664e-02,
  2.65636176e-01,  4.27014641e-02, -1.10375702e-01, -1.50196686e-01,
  1.29450530e-01, -1.33798927e-01, -1.21212222e-01, -1.38293672e-02,
 -1.27141297e-01, -1.78527966e-01, -3.05583507e-01, -3.71010788e-03,
  3.58689815e-01,  1.44641414e-01, -2.21698239e-01,  9.66014564e-02,
 -4.12288755e-02,  3.57394340e-03,  1.90096349e-01,  1.82031348e-01,
  4.38771658e-02,  8.59444588e-02, -4.93378490e-02, -7.03467522e-03,
  2.32316121e-01, -5.08901700e-02, -3.99962179e-02,  2.16586232e-01,
 -3.60413194e-02,  6.69783428e-02,  7.54517270e-03, -5.98598719e-02,
 -7.51686320e-02,  4.63092662e-02, -1.34854421e-01, -4.74676490e-02,
  8.18466321e-02,  1.98988207e-02,  1.50268432e-04,  1.04187004e-01,
 -1.33806378e-01,  1.33577004e-01,  1.22493198e-02,  6.43731207e-02,
  2.24829949e-02, -1.18059861e-02, -1.15512148e-01, -7.73511082e-02,
  1.07338659e-01, -1.75510347e-01,  2.32802182e-01,  1.54729322e-01,
  4.54328135e-02,  1.04751378e-01,  1.33506164e-01,  6.15976974e-02,
  2.39016116e-02,  4.66247834e-03, -2.51072079e-01, -2.98607349e-02,
  1.20893314e-01, -7.34551344e-04,  1.47831276e-01, -1.15579981e-02]",2
"[-0.13174279,  0.12795468,  0.00637077, -0.05084688, -0.07330883,
  0.0100534 , -0.07276973, -0.12269247,  0.18281074, -0.10270307,
  0.25339651, -0.03682518, -0.17557469, -0.12602445, -0.0527471 ,
  0.15918541, -0.20550707, -0.16866991, -0.01761218,  0.01244248,
  0.05186765, -0.10348655,  0.05648525,  0.04521132, -0.1048881 ,
 -0.39603144, -0.11354261, -0.06099866,  0.08596313, -0.05364161,
 -0.06677908, -0.01687856, -0.25278983, -0.12939617, -0.01531005,
  0.07233196, -0.01862907, -0.04039581,  0.21697962, -0.02495628,
 -0.22268817, -0.02900557,  0.04394922,  0.25892746,  0.15518777,
  0.06463655,  0.0139142 , -0.12978958,  0.1107185 , -0.16942026,
  0.06697907,  0.16689347,  0.04411178,  0.08324824, -0.05448015,
 -0.0887379 ,  0.03238958,  0.14486659, -0.19021417,  0.01366967,
  0.06300261, -0.03999296, -0.00870559, -0.07789782,  0.27760288,
  0.14403845, -0.09619262, -0.22401287,  0.14833716, -0.10989273,
 -0.03509791,  0.04399313, -0.12863001, -0.19303289, -0.34856078,
  0.03961694,  0.41494751,  0.11616854, -0.10354605,  0.0542321 ,
 -0.10233641, -0.08158796,  0.09695301,  0.14391282, -0.0437976 ,
  0.07812777, -0.04968733,  0.03685955,  0.21627869, -0.01828777,
 -0.07289211,  0.17225122, -0.01751055,  0.10915837,  0.04447871,
  0.09544895, -0.08712453,  0.07201238, -0.19922933,  0.01575312,
  0.00819301,  0.01396266,  0.03166794,  0.10840076, -0.11306465,
  0.10641652,  0.03881938,  0.02500006, -0.00240325,  0.00788362,
 -0.11325044, -0.12259714,  0.10641   , -0.24868268,  0.23582684,
  0.18502709,  0.11803763,  0.13377403,  0.16977645,  0.0499898 ,
  0.03902624, -0.01470902, -0.17964564,  0.01399083,  0.09249211,
 -0.03689509,  0.11950893,  0.03105103]",3
"[-0.1096646 ,  0.0396269 ,  0.03049405, -0.06267752, -0.06595172,
 -0.08589616, -0.03234166, -0.13884623,  0.10527295, -0.01006315,
  0.26074511, -0.07139967, -0.1590613 , -0.17276897, -0.02372361,
  0.17787099, -0.24721433, -0.12302137, -0.01693925,  0.01597904,
  0.07912145, -0.04894086,  0.0133697 ,  0.07054666, -0.08593173,
 -0.33581373, -0.0748618 , -0.0869312 ,  0.07433278, -0.02613747,
 -0.05437403,  0.04271414, -0.20163953, -0.07987111,  0.04871696,
  0.04184388,  0.01788994, -0.10181718,  0.16048263, -0.05389689,
 -0.26320273, -0.01318807,  0.09368705,  0.20002832,  0.20872647,
  0.07345648, -0.020704  , -0.1330885 ,  0.15021716, -0.17164657,
  0.04021528,  0.11734506,  0.10379425, -0.00799419, -0.02717265,
 -0.14218606,  0.02529458,  0.12634304, -0.22967307,  0.00495633,
  0.03585691, -0.08297916, -0.01775484, -0.10335296,  0.18404773,
  0.09871496, -0.12878796, -0.14878057,  0.10686656, -0.13343446,
 -0.03436863,  0.09429593, -0.13039123, -0.20771348, -0.34410557,
 -0.03496639,  0.40261868,  0.0762981 , -0.18650517, -0.00311551,
 -0.05312092, -0.01083665,  0.15132487,  0.14073145, -0.03637929,
 -0.01262169, -0.11835857, -0.03676003,  0.21045285, -0.04640685,
 -0.0293829 ,  0.21772815, -0.03486192,  0.05740712, -0.02869704,
  0.06987417, -0.04572653,  0.07504248, -0.09245104, -0.03476462,
  0.06855784, -0.00519005,  0.02994495,  0.12893274, -0.17256646,
  0.04910892,  0.0464247 ,  0.05900188,  0.06872281, -0.06550174,
 -0.04094858, -0.0972931 ,  0.08665526, -0.22966246,  0.18795532,
  0.18753625,  0.08068646,  0.1116871 ,  0.06237373,  0.03819311,
 -0.02290079, -0.08765261, -0.18951152,  0.03473914,  0.10896701,
 -0.05820883,  0.11325842, -0.01364514]",4
"[-1.12079442e-01,  1.53402820e-01,  7.26493075e-02, -7.84890652e-02,
 -1.25429466e-01,  9.14551318e-03, -8.60341713e-02, -1.61222011e-01,
  1.90632194e-01, -1.33228451e-01,  2.80800581e-01, -3.48809846e-02,
 -1.70070082e-01, -1.21818259e-01, -4.47349884e-02,  1.46045715e-01,
 -1.79330751e-01, -1.58526495e-01, -9.17131454e-03,  1.04402965e-02,
  6.47380352e-02, -1.94738340e-02,  8.85248333e-02,  1.42876841e-02,
 -8.00000653e-02, -3.15906465e-01, -1.01187706e-01, -1.00743696e-01,
  5.95794898e-03, -1.05724029e-01, -7.71812052e-02, -2.73691528e-02,
 -2.05821410e-01, -7.38028437e-02, -4.00675312e-02,  1.34906381e-01,
 -5.73900193e-02, -6.45818934e-02,  1.62626088e-01, -8.14609230e-02,
 -2.24892870e-01,  3.38542983e-02,  4.17126622e-03,  2.03658730e-01,
  1.74468115e-01,  5.96299618e-02, -3.92761081e-03, -1.84564233e-01,
  1.29312932e-01, -1.13253251e-01,  1.26042396e-01,  1.29292876e-01,
  7.31729865e-02,  4.65182513e-02,  2.79263481e-02, -1.38095647e-01,
  1.68502908e-02,  1.20073594e-01, -7.92368352e-02, -1.19588920e-03,
  8.62525553e-02, -2.62583643e-02,  1.55491428e-02, -1.18558243e-01,
  2.43749708e-01,  1.06033728e-01, -7.88876042e-02, -1.62881002e-01,
  1.27395272e-01, -7.66669586e-02, -1.22893170e-01,  1.22945815e-01,
 -1.68965667e-01, -1.87846720e-01, -2.84962565e-01,  1.51739335e-02,
  4.00122315e-01,  7.94934854e-02, -1.93132833e-01, -2.73380745e-02,
 -2.91732959e-02, -3.03074233e-02,  8.36942717e-02,  1.61496803e-01,
 -3.31440382e-02,  6.60250708e-02, -1.29651710e-01,  1.59281865e-02,
  2.48578548e-01, -7.65115321e-02, -8.35097209e-02,  1.94377691e-01,
 -5.89387491e-05,  1.00503258e-01,  3.25475559e-02,  4.34912555e-02,
 -1.14339907e-02,  7.87956342e-02, -1.91176221e-01, -1.85022987e-02,
  5.58627099e-02, -4.17032838e-02, -1.13183364e-01,  9.51996744e-02,
 -1.42097324e-01,  1.09027885e-01,  3.02269440e-02,  2.13066861e-02,
 -5.03417067e-02, -6.18112609e-02, -7.58377761e-02, -9.99656320e-03,
  1.79842979e-01, -2.30540752e-01,  2.48363182e-01,  1.70618266e-01,
  1.11438371e-01,  1.49818093e-01,  1.15295544e-01,  8.18922445e-02,
 -1.49150938e-03, -6.91947490e-02, -2.14532569e-01, -2.61543728e-02,
  1.06113315e-01, -1.05772130e-02,  1.40401825e-01,  7.30619803e-02]",5
